open,high,low,close,volume,date
16779.2109375,16823.55078125,16732.91015625,16808.490234375,,06/17/2014
16806.119140625,16911.41015625,16755.2890625,16906.619140625,,06/18/2014
16909.900390625,16923.4296875,16858.880859375,16921.4609375,,06/19/2014
16920.619140625,16978.01953125,16920.619140625,16947.080078125,,06/20/2014
16946.5,16954.26953125,16896.08984375,16937.259765625,,06/23/2014
16934.619140625,16969.69921875,16805.23046875,16818.130859375,,06/24/2014
16817.6796875,16883.5390625,16799.41015625,16867.509765625,,06/25/2014
16866.810546875,16872.51953125,16746.08984375,16846.130859375,,06/26/2014
16846.900390625,16862.73046875,16773.83984375,16851.83984375,,06/27/2014
16852.490234375,16871.26953125,16801.939453125,16826.599609375,,06/30/2014
16828.529296875,16998.69921875,16828.529296875,16956.0703125,,07/01/2014
16949.7109375,16986.630859375,16949.7109375,16976.240234375,,07/02/2014
16979.0,17074.650390625,16979.0,17068.259765625,,07/03/2014
17063.830078125,17063.830078125,16992.44921875,17024.2109375,,07/07/2014
17022.08984375,17022.08984375,16874.7890625,16906.619140625,,07/08/2014
16916.830078125,16998.94921875,16913.810546875,16985.609375,,07/09/2014
16980.349609375,16980.349609375,16805.380859375,16915.0703125,,07/10/2014
16918.310546875,16949.4609375,16860.30078125,16943.810546875,,07/11/2014
16950.9296875,17088.4296875,16950.9296875,17055.419921875,,07/14/2014
17055.029296875,17120.33984375,17006.390625,17060.6796875,,07/15/2014
17061.91015625,17139.349609375,17061.91015625,17138.19921875,,07/16/2014
17133.44921875,17151.560546875,16966.189453125,16976.810546875,,07/17/2014
16978.16015625,17113.509765625,16977.51953125,17100.1796875,,07/18/2014
17095.109375,17095.109375,16974.33984375,17051.73046875,,07/21/2014
17054.970703125,17133.4296875,17040.130859375,17113.5390625,,07/22/2014
17117.009765625,17121.05078125,17058.05078125,17086.630859375,,07/23/2014
17092.01953125,17119.830078125,17061.0703125,17083.80078125,,07/24/2014
17079.5,17082.330078125,16915.650390625,16960.5703125,,07/25/2014
16956.91015625,17001.380859375,16877.720703125,16982.58984375,,07/28/2014
16984.330078125,17056.4609375,16912.109375,16912.109375,,07/29/2014
16920.109375,16983.939453125,16817.16015625,16880.359375,,07/30/2014
16869.630859375,16869.630859375,16563.30078125,16563.30078125,,07/31/2014
16561.69921875,16584.75,16437.0703125,16493.369140625,,08/01/2014
16493.720703125,16596.220703125,16447.19921875,16569.279296875,,08/04/2014
16559.970703125,16559.970703125,16369.5498046875,16429.470703125,,08/05/2014
16425.099609375,16490.69921875,16372.3203125,16443.33984375,,08/06/2014
16448.2890625,16504.349609375,16333.7802734375,16368.26953125,,08/07/2014
16369.6796875,16556.58984375,16364.2197265625,16553.9296875,,08/08/2014
16557.26953125,16627.990234375,16557.26953125,16569.98046875,,08/11/2014
16565.55078125,16589.310546875,16518.060546875,16560.5390625,,08/12/2014
16567.5390625,16670.2890625,16567.5390625,16651.80078125,,08/13/2014
16657.3203125,16714.220703125,16651.669921875,16713.580078125,,08/14/2014
16717.009765625,16775.26953125,16575.419921875,16662.91015625,,08/15/2014
16664.44921875,16840.279296875,16664.44921875,16838.740234375,,08/18/2014
16839.060546875,16929.130859375,16839.060546875,16919.58984375,,08/19/2014
16910.029296875,16994.890625,16896.55078125,16979.130859375,,08/20/2014
16983.880859375,17074.58984375,16983.880859375,17039.490234375,,08/21/2014
17038.26953125,17064.279296875,16984.51953125,17001.220703125,,08/22/2014
17011.810546875,17124.740234375,17011.810546875,17076.869140625,,08/25/2014
17079.5703125,17153.80078125,17079.5703125,17106.69921875,,08/26/2014
17111.029296875,17134.599609375,17090.609375,17122.009765625,,08/27/2014
17119.060546875,17119.060546875,17018.330078125,17079.5703125,,08/28/2014
17083.419921875,17110.419921875,17035.380859375,17098.44921875,,08/29/2014
17097.419921875,17113.509765625,17009.0703125,17067.560546875,,09/02/2014
17067.240234375,17151.890625,17060.2109375,17078.279296875,,09/03/2014
17083.609375,17161.55078125,17030.119140625,17069.580078125,,09/04/2014
17065.890625,17137.359375,17009.619140625,17137.359375,,09/05/2014
17131.7109375,17137.880859375,17079.169921875,17111.419921875,,09/08/2014
17110.390625,17111.55078125,16993.2890625,17013.869140625,,09/09/2014
17016.05078125,17080.26953125,16974.5703125,17068.7109375,,09/10/2014
17057.41015625,17057.41015625,16983.880859375,17049.0,,09/11/2014
17044.05078125,17044.05078125,16937.669921875,16987.509765625,,09/12/2014
16988.759765625,17051.849609375,16951.380859375,17031.140625,,09/15/2014
17027.16015625,17167.05078125,16985.55078125,17131.970703125,,09/16/2014
17131.009765625,17221.109375,17089.009765625,17156.849609375,,09/17/2014
17163.73046875,17275.369140625,17163.73046875,17265.990234375,,09/18/2014
17267.2109375,17350.640625,17257.4609375,17279.740234375,,09/19/2014
17271.7109375,17277.880859375,17159.359375,17172.6796875,,09/22/2014
17165.91015625,17171.880859375,17055.869140625,17055.869140625,,09/23/2014
17056.640625,17226.599609375,17033.9296875,17210.060546875,,09/24/2014
17204.859375,17204.859375,16945.80078125,16945.80078125,,09/25/2014
16948.619140625,17148.150390625,16948.109375,17113.150390625,,09/26/2014
17107.689453125,17107.689453125,16934.4296875,17071.220703125,,09/29/2014
17070.44921875,17145.099609375,17017.109375,17042.900390625,,09/30/2014
